Time,Solar,Wind
2011-03-25 02:00:00,0.0,3512.0
2011-03-25 03:00:00,0.0,2376.0
2011-03-25 04:00:00,0.0,3056.0
2011-03-25 05:00:00,0.0,2084.0
2011-03-25 06:00:00,0.0,1648.0
2011-03-25 07:00:00,0.0,788.0
2011-03-25 08:00:00,0.0,532.0
2011-03-25 09:00:00,15815.8,1084.0
2011-03-25 10:00:00,64722.0,484.0
2011-03-25 11:00:00,117802.26,68.0
2011-03-25 12:00:00,173439.0,0.0
2011-03-25 13:00:00,173390.26,64.0
2011-03-25 14:00:00,182374.68,260.0
2011-03-25 15:00:00,184611.82,1112.0
2011-03-25 16:00:00,198125.94,1952.0
2011-03-25 17:00:00,173572.98,1752.0
2011-03-25 18:00:00,130289.96,1936.0
2011-03-25 19:00:00,63002.24,2168.0
2011-03-25 20:00:00,10954.08,2000.0
2011-03-25 21:00:00,0.0,1408.0
2011-03-25 22:00:00,0.0,2164.0
2011-03-25 23:00:00,0.0,6780.0
2011-03-26 00:00:00,0.0,7792.0
2011-03-26 01:00:00,0.0,4068.0
2011-03-26 02:00:00,0.0,4920.0
2011-03-26 03:00:00,0.0,7440.0
2011-03-26 04:00:00,0.0,7064.0
2011-03-26 05:00:00,0.0,5524.0
2011-03-26 06:00:00,0.0,5492.0
2011-03-26 07:00:00,0.0,3632.0
2011-03-26 08:00:00,0.0,5884.0
2011-03-26 09:00:00,16019.68,3256.0
2011-03-26 10:00:00,74764.08,5944.0
2011-03-26 11:00:00,127094.86,3204.0
2011-03-26 12:00:00,173713.54,1964.0
2011-03-26 13:00:00,201903.72,1564.0
2011-03-26 14:00:00,162569.54,2728.0
2011-03-26 15:00:00,186783.7,5128.0
2011-03-26 16:00:00,200539.54,3988.0
2011-03-26 17:00:00,172945.82,4232.0
2011-03-26 18:00:00,130687.42,3684.0
2011-03-26 19:00:00,63627.66,8816.0
2011-03-26 20:00:00,11243.36,18396.0
2011-03-26 21:00:00,0.0,17164.0
2011-03-26 22:00:00,0.0,13832.0
2011-03-26 23:00:00,0.0,11860.0
2011-03-27 00:00:00,0.0,9832.0
2011-03-27 01:00:00,0.0,7468.0
2011-03-27 02:00:00,0.0,9392.0
2011-03-27 03:00:00,0.0,1140.0
2011-03-27 04:00:00,0.0,7616.0
2011-03-27 05:00:00,0.0,10116.0
2011-03-27 06:00:00,0.0,13480.0
2011-03-27 07:00:00,0.0,5704.0
2011-03-27 08:00:00,0.0,6264.0
2011-03-27 09:00:00,16883.06,6180.0
2011-03-27 10:00:00,76233.32,6768.0
2011-03-27 11:00:00,131741.9,4884.0
2011-03-27 12:00:00,173982.54,1136.0
2011-03-27 13:00:00,194936.82,1100.0
2011-03-27 14:00:00,204644.32,1440.0
2011-03-27 15:00:00,202670.74,1552.0
2011-03-27 16:00:00,194959.28,1232.0
2011-03-27 17:00:00,167570.2,1148.0
2011-03-27 18:00:00,127589.12,1088.0
2011-03-27 19:00:00,62083.14,1448.0
2011-03-27 20:00:00,10920.84,1936.0
2011-03-27 21:00:00,0.0,2440.0
2011-03-27 22:00:00,0.0,3644.0
2011-03-27 23:00:00,0.0,7928.0
2011-03-28 00:00:00,0.0,9212.0
2011-03-28 01:00:00,0.0,14136.0
2011-03-28 02:00:00,0.0,7052.0
2011-03-28 03:00:00,0.0,4116.0
2011-03-28 04:00:00,0.0,2960.0
2011-03-28 05:00:00,0.0,2500.0
2011-03-28 06:00:00,0.0,2888.0
2011-03-28 07:00:00,0.0,3916.0
2011-03-28 08:00:00,0.0,2164.0
2011-03-28 09:00:00,15288.06,3148.0
2011-03-28 10:00:00,69982.22,6316.0
2011-03-28 11:00:00,128628.98,1848.0
2011-03-28 12:00:00,175896.9,736.0
2011-03-28 13:00:00,195508.56,500.0
2011-03-28 14:00:00,202688.24,444.0
2011-03-28 15:00:00,204807.62,188.0
2011-03-28 16:00:00,195479.52,2504.0
2011-03-28 17:00:00,169708.78,2264.0
2011-03-28 18:00:00,128002.38,1736.0
2011-03-28 19:00:00,61718.22,1696.0
2011-03-28 20:00:00,10958.86,1308.0
2011-03-28 21:00:00,0.0,2440.0
2011-03-28 22:00:00,0.0,1056.0
2011-03-28 23:00:00,0.0,1288.0
2011-03-29 00:00:00,0.0,3428.0
2011-03-29 01:00:00,0.0,5468.0
2011-03-29 02:00:00,0.0,7864.0
2011-03-29 03:00:00,0.0,5132.0
2011-03-29 04:00:00,0.0,5780.0
2011-03-29 05:00:00,0.0,4296.0
2011-03-29 06:00:00,0.0,3808.0
2011-03-29 07:00:00,0.0,3316.0
2011-03-29 08:00:00,0.0,3524.0
2011-03-29 09:00:00,16711.12,2832.0
2011-03-29 10:00:00,70944.72,1644.0
2011-03-29 11:00:00,128171.7,312.0
2011-03-29 12:00:00,169540.52,40.0
2011-03-29 13:00:00,193466.98,108.0
2011-03-29 14:00:00,203363.82,484.0
2011-03-29 15:00:00,202208.2,760.0
2011-03-29 16:00:00,189950.98,876.0
2011-03-29 17:00:00,164026.72,408.0
2011-03-29 18:00:00,124254.64,144.0
2011-03-29 19:00:00,60172.58,132.0
2011-03-29 20:00:00,10506.78,176.0
2011-03-29 21:00:00,0.0,476.0
2011-03-29 22:00:00,0.0,1664.0
2011-03-29 23:00:00,0.0,2232.0
2011-03-30 00:00:00,0.0,4736.0
2011-03-30 01:00:00,0.0,6408.0
2011-03-30 02:00:00,0.0,7276.0
2011-03-30 03:00:00,0.0,2640.0
2011-03-30 04:00:00,0.0,776.0
2011-03-30 05:00:00,0.0,3144.0
2011-03-30 06:00:00,0.0,9164.0
2011-03-30 07:00:00,0.0,7736.0
2011-03-30 08:00:00,0.0,7020.0
2011-03-30 09:00:00,18482.34,9968.0
2011-03-30 10:00:00,70151.26,5156.0
2011-03-30 11:00:00,119916.24,0.0
2011-03-30 12:00:00,148168.94,0.0
2011-03-30 13:00:00,147335.76,0.0
