Time,FOOD_SERVICE,GROCERY,HEALTH_CARE,K12_SCHOOLS,LODGING,OFFICE,RESIDENTIAL,STAND_ALONE_RETAIL,Weekdays,HolidayName,School_Day,Workday,ELECTRIC_CAR,FOOD_SVC_SF,GROCERY_SF,HEALTH_CARE_SF,K12_SF,LODGING_SF,OFFICE_SF,RESIDENTIAL_SF,SA_RTL_SF,FOOD_SVC_TOTAL,GROCERY_TOTAL,HEALTH_CARE_TOTAL,K12_TOTAL,LODGING_TOTAL,OFFICE_TOTAL,RESIDENTIAL_TOTAL,SA_RTL_TOTAL
1900-01-01 01:00:00,0.0054160664,0.0020302509,0.002389971,0.0008177919,0.0012087326,0.001910949,0.0005408382,0.000490762,Sun,New Year's Day,0,False,22597.669011,967558.0987132019,539981.116857773,965374.2969271572,2426480.0,931129.0904894555,9999731.470959103,84823407.57930729,971961.7356646548,5240.358908488456,1096.2971484834989,2307.2165738012945,1984.355689512,1125.4860864829548,19108.976854697827,45875.73907305892,477.0018853182572
1900-01-01 02:00:00,0.0037892151,0.0020316304999999997,0.0024429674,0.0008148465,0.0012147583,0.0016635943,0.000522919,0.0004993138,Sun,New Year's Day,0,False,22597.669011,967558.0987132019,539981.116857773,965374.2969271572,2426480.0,931129.0904894555,9999731.470959103,84823407.57930729,971961.7356646548,3666.2857577713553,1097.0421064323157,2358.377936190965,1977.20873532,1131.096791043517,16635.496276618178,44355.771467963794,485.31390768931425
1900-01-01 03:00:00,0.0037971470000000003,0.0019766379999999997,0.0024131239,0.0008237725,0.0011489547,0.0020053335,0.0005172844,0.0005049665,Sun,New Year's Day,0,False,22597.669011,967558.0987132019,539981.116857773,965374.2969271572,2426480.0,931129.0904894555,9999731.470959103,84823407.57930729,971961.7356646548,3673.9603318545387,1067.3471948635147,2329.5677883606195,1998.8674958000001,1069.825144824585,20052.796509718566,43877.82549561743,490.8081157925059
1900-01-01 04:00:00,0.0038017171999999997,0.0020681732,0.0024056954,0.0008170464999999999,0.0011635804,0.0016971351999999999,0.0005138866000000001,0.0005067843,Sun,New Year's Day,0,False,22597.669011,967558.0987132019,539981.116857773,965374.2969271572,2426480.0,931129.0904894555,9999731.470959103,84823407.57930729,971961.7356646548,3678.3822658772774,1116.7744743913145,2322.3965053958964,1982.5469913199997,1083.4435595633568,16970.89626991247,43589.61252134446,492.57494783559713
1900-01-01 05:00:00,0.0038614936,0.0021763971,0.0024284718,0.0008250546000000001,0.0012112123,0.0020161568,0.0005753482,0.0005101314,Sun,New Year's Day,0,False,22597.669011,967558.0987132019,539981.116857773,965374.2969271572,2426480.0,931129.0904894555,9999731.470959103,84823407.57930729,971961.7356646548,3736.2194058091973,1175.2133367840183,2344.384256532428,2001.9784858080002,1127.7950072886415,20161.0266033482,48802.99486862081,495.82820096104024
1900-01-01 06:00:00,0.0054753851,0.0021332847,0.0024281642,0.0008193123,0.0013172429999999998,0.0017068676000000001,0.0007081603999999999,0.0005116109,Sun,New Year's Day,0,False,0.0,967558.0987132019,539981.116857773,965374.2969271572,2426480.0,931129.0904894555,9999731.470959103,84823407.57930729,971961.7356646548,5297.753197078595,1151.9334548815991,2344.087307398693,1988.044909704,1226.5232765436017,17068.217656480436,60068.57824072527,497.2662183489561
1900-01-01 07:00:00,0.0112654407,0.0027506936,0.0026716303000000005,0.0008252455,0.0017381204,0.0020389712,0.0008626263,0.0005153034,Sun,New Year's Day,0,False,0.0,967558.0987132019,539981.116857773,965374.2969271572,2426480.0,931129.0904894555,9999731.470959103,84823407.57930729,971961.7356646548,10899.968384858323,1485.3226022615283,2579.1232225117906,2002.44170084,1618.4144672131686,20389.164477019247,73170.9022335298,500.8551870578978
1900-01-01 08:00:00,0.0112457479,0.0029522074,0.0026540436,0.0008113733,0.0020380107,0.0017378895,0.0009441507000000001,0.0005171116,Sun,New Year's Day,0,False,0.0,967558.0987132019,539981.116857773,965374.2969271572,2426480.0,931129.0904894555,9999731.470959103,84823407.57930729,971961.7356646548,10880.914456731984,1594.1362490477823,2562.145474364021,1968.781084984,1897.6510494987785,17378.42832619938,80086.07964238829,502.6126882683267
1900-01-01 09:00:00,0.0082334212,0.0034391214,0.0028843228,0.0007313844,0.0023222752,0.0018595682,0.0007525819,0.0009426660000000001,Sun,New Year's Day,0,False,0.0,967558.0987132019,539981.116857773,965374.2969271572,2426480.0,931129.0904894555,9999731.470959103,84823407.57930729,971961.7356646548,7966.31336217697,1857.060614581468,2784.4510951609695,1774.689618912,2162.3379948422184,18595.18265193477,63836.56124050948,916.2352815120576
1900-01-01 10:00:00,0.008237147700000001,0.0028275093,0.0028370143,0.0006919781,0.0020667866,0.0014339698999999999,0.0006432066,0.0008663029,Sun,New Year's Day,0,False,0.0,967558.0987132019,539981.116857773,965374.2969271572,2426480.0,931129.0904894555,9999731.470959103,84823407.57930729,971961.7356646548,7969.918967431825,1526.80162973974,2738.780685234791,1679.071020088,1924.445127093794,14339.313937438075,54558.97558950047,842.0132702953239
