,Solar_Elevation,Date
0,-67.4034578998685,2010-01-04 00:00:00.000000000
1,-68.77633764570949,2010-01-04 00:00:00.000000001
2,-63.608613886286,2010-01-04 00:00:00.000000002
3,-54.7378034347027,2010-01-04 00:00:00.000000003
4,-44.4098974189501,2010-01-04 00:00:00.000000004
5,-33.6093454464391,2010-01-04 00:00:00.000000005
6,-22.8112610694772,2010-01-04 00:00:00.000000006
7,-12.332500918248401,2010-01-04 00:00:00.000000007
8,-2.46707866697467,2010-01-04 00:00:00.000000008
9,6.4484379472452105,2010-01-04 00:00:00.000000009
10,13.998709892847199,2010-01-04 00:00:00.000000010
11,19.6883149029747,2010-01-04 00:00:00.000000011
12,23.007353008095397,2010-01-04 00:00:00.000000012
13,23.582218237108602,2010-01-04 00:00:00.000000013
14,21.3412641317167,2010-01-04 00:00:00.000000014
15,16.551902902932902,2010-01-04 00:00:00.000000015
16,9.69092940091031,2010-01-04 00:00:00.000000016
17,1.2726255476009198,2010-01-04 00:00:00.000000017
18,-8.2523653024061,2010-01-04 00:00:00.000000018
19,-18.5181799653446,2010-01-04 00:00:00.000000019
20,-29.2189198795241,2010-01-04 00:00:00.000000020
21,-40.0564061153089,2010-01-04 00:00:00.000000021
22,-50.64195403386479,2010-01-04 00:00:00.000000022
23,-60.259608412490905,2010-01-04 00:00:00.000000023
24,-67.2663396437879,2010-01-05 00:00:00.000000000
25,-68.6855483829115,2010-01-05 00:00:00.000000001
26,-63.573740873924706,2010-01-05 00:00:00.000000002
27,-54.73472307367889,2010-01-05 00:00:00.000000003
28,-44.420126986800796,2010-01-05 00:00:00.000000004
29,-33.6226850501813,2010-01-05 00:00:00.000000005
30,-22.8214089958982,2010-01-05 00:00:00.000000006
31,-12.334702264560098,2010-01-05 00:00:00.000000007
32,-2.45705075920799,2010-01-05 00:00:00.000000008
33,6.4749364246471,2010-01-05 00:00:00.000000009
34,14.045788844535801,2010-01-05 00:00:00.000000010
35,19.759215067617,2010-01-05 00:00:00.000000011
36,23.1030894538273,2010-01-05 00:00:00.000000012
37,23.7004086236018,2010-01-05 00:00:00.000000013
38,21.476508520387696,2010-01-05 00:00:00.000000014
39,16.6978188302824,2010-01-05 00:00:00.000000015
40,9.84216419226121,2010-01-05 00:00:00.000000016
41,1.42564139394234,2010-01-05 00:00:00.000000017
42,-8.09945797225156,2010-01-05 00:00:00.000000018
43,-18.3660585837657,2010-01-05 00:00:00.000000019
44,-29.067397986104304,2010-01-05 00:00:00.000000020
45,-39.9046516200765,2010-01-05 00:00:00.000000021
46,-50.488839123338394,2010-01-05 00:00:00.000000022
47,-60.105588384720704,2010-01-05 00:00:00.000000023
48,-67.1226433374659,2010-01-06 00:00:00.000000000
49,-68.5866027238929,2010-01-06 00:00:00.000000001
50,-63.53110122198029,2010-01-06 00:00:00.000000002
51,-54.724818628116395,2010-01-06 00:00:00.000000003
52,-44.4241115695047,2010-01-06 00:00:00.000000004
53,-33.630015126477296,2010-01-06 00:00:00.000000005
54,-22.8255514968221,2010-01-06 00:00:00.000000006
55,-12.3307457344167,2010-01-06 00:00:00.000000007
56,-2.44060485706108,2010-01-06 00:00:00.000000008
57,6.50817737323723,2010-01-06 00:00:00.000000009
58,14.099942575058401,2010-01-06 00:00:00.000000010
59,19.837445175552002,2010-01-06 00:00:00.000000011
60,23.2062230384093,2010-01-06 00:00:00.000000012
61,23.825781949931198,2010-01-06 00:00:00.000000013
62,21.618433848093602,2010-01-06 00:00:00.000000014
63,16.8497245220195,2010-01-06 00:00:00.000000015
64,9.99864712959658,2010-01-06 00:00:00.000000016
65,1.5832225083028102,2010-01-06 00:00:00.000000017
66,-7.94254676433776,2010-01-06 00:00:00.000000018
67,-18.2103386965762,2010-01-06 00:00:00.000000019
68,-28.912495455755302,2010-01-06 00:00:00.000000020
69,-39.7494929184802,2010-01-06 00:00:00.000000021
70,-50.3319445878438,2010-01-06 00:00:00.000000022
71,-59.94684653723721,2010-01-06 00:00:00.000000023
72,-66.97248109347649,2010-01-07 00:00:00.000000000
73,-68.4795531954163,2010-01-07 00:00:00.000000001
74,-63.48065021349179,2010-01-07 00:00:00.000000002
75,-54.7080139936526,2010-01-07 00:00:00.000000003
76,-44.4217752338464,2010-01-07 00:00:00.000000004
77,-33.6312687852729,2010-01-07 00:00:00.000000005
78,-22.8236337039367,2010-01-07 00:00:00.000000006
79,-12.3205900856131,2010-01-07 00:00:00.000000007
80,-2.41771461327777,2010-01-07 00:00:00.000000008
81,6.54817120581538,2010-01-07 00:00:00.000000009
82,14.1611649350719,2010-01-07 00:00:00.000000010
83,19.9229824078628,2010-01-07 00:00:00.000000011
84,23.3167143797621,2010-01-07 00:00:00.000000012
85,23.9582821922757,2010-01-07 00:00:00.000000013
86,21.766967816788696,2010-01-07 00:00:00.000000014
87,17.0075335251581,2010-01-07 00:00:00.000000015
88,10.160281509554801,2010-01-07 00:00:00.000000016
89,1.7452663616033401,2010-01-07 00:00:00.000000017
90,-7.78173620235881,2010-01-07 00:00:00.000000018
91,-18.0511240064187,2010-01-07 00:00:00.000000019
92,-28.7543134315443,2010-01-07 00:00:00.000000020
93,-39.591028137529996,2010-01-07 00:00:00.000000021
94,-50.1713673770542,2010-01-07 00:00:00.000000022
95,-59.7834852989539,2010-01-07 00:00:00.000000023
96,-66.8159655711917,2010-01-08 00:00:00.000000000
97,-68.3644589008094,2010-01-08 00:00:00.000000001
98,-63.4223498953805,2010-01-08 00:00:00.000000002
99,-54.6842376899963,2010-01-08 00:00:00.000000003
100,-44.4130457579708,2010-01-08 00:00:00.000000004
101,-33.62638261120539,2010-01-08 00:00:00.000000005
102,-22.8156042348064,2010-01-08 00:00:00.000000006
103,-12.3041976423015,2010-01-08 00:00:00.000000007
104,-2.38835731345135,2010-01-08 00:00:00.000000008
105,6.59492469865251,2010-01-08 00:00:00.000000009
106,14.229446226013698,2010-01-08 00:00:00.000000010
107,20.0158005726208,2010-01-08 00:00:00.000000011
108,23.434520944609197,2010-01-08 00:00:00.000000012
109,24.0978503910989,2010-01-08 00:00:00.000000013
110,21.9220354191116,2010-01-08 00:00:00.000000014
111,17.1711570009806,2010-01-08 00:00:00.000000015
112,10.3269687145628,2010-01-08 00:00:00.000000016
113,1.9116691017247098,2010-01-08 00:00:00.000000017
114,-7.61713148266708,2010-01-08 00:00:00.000000018
115,-17.8885182277156,2010-01-08 00:00:00.000000019
116,-28.592952425465104,2010-01-08 00:00:00.000000020
117,-39.4293541724231,2010-01-08 00:00:00.000000021
118,-50.007202721243296,2010-01-08 00:00:00.000000022
119,-59.61560534040421,2010-01-08 00:00:00.000000023
120,-66.65320971842141,2010-01-09 00:00:00.000000000
121,-68.2413852611013,2010-01-09 00:00:00.000000001
122,-63.3561692567529,2010-01-09 00:00:00.000000002
123,-54.65342310440829,2010-01-09 00:00:00.000000003
124,-44.3978548249812,2010-01-09 00:00:00.000000004
125,-33.6152968071711,2010-01-09 00:00:00.000000005
126,-22.8014152955027,2010-01-09 00:00:00.000000006
127,-12.2815343631461,2010-01-09 00:00:00.000000007
128,-2.3525139141171096,2010-01-09 00:00:00.000000008
129,6.64844097985647,2010-01-09 00:00:00.000000009
130,14.3047732114895,2010-01-09 00:00:00.000000010
131,20.1158701360008,2010-01-09 00:00:00.000000011
132,23.559597096260198,2010-01-09 00:00:00.000000012
133,24.2444247128824,2010-01-09 00:00:00.000000013
134,22.08355901285,2010-01-09 00:00:00.000000014
135,17.3405038127896,2010-01-09 00:00:00.000000015
136,10.4986083133706,2010-01-09 00:00:00.000000016
137,2.08232566319754,2010-01-09 00:00:00.000000017
138,-7.44883836127369,2010-01-09 00:00:00.000000018
139,-17.7226249767056,2010-01-09 00:00:00.000000019
140,-28.4285122173351,2010-01-09 00:00:00.000000020
141,-39.2645665988278,2010-01-09 00:00:00.000000021
142,-49.8395440565781,2010-01-09 00:00:00.000000022
143,-59.4433054844271,2010-01-09 00:00:00.000000023
144,-66.48432653109451,2010-01-10 00:00:00.000000000
145,-68.11040373553159,2010-01-10 00:00:00.000000001
146,-63.2820843787436,2010-01-10 00:00:00.000000002
147,-54.615508724154,2010-01-10 00:00:00.000000003
148,-44.376138211374595,2010-01-10 00:00:00.000000004
149,-33.5979553342695,2010-01-10 00:00:00.000000005
150,-22.781022780050996,2010-01-10 00:00:00.000000006
151,-12.2525699064884,2010-01-10 00:00:00.000000007
152,-2.3101690780429,2010-01-10 00:00:00.000000008
153,6.70871952032799,2010-01-10 00:00:00.000000009
154,14.387129131066,2010-01-10 00:00:00.000000010
